Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;20;1760.14;11.06;8.49;11.38;10.18;51.12;0;41.83;9.3;51.1;0;14.156;3.513;6.461;1.51;3.2;1.902;4.704;0.063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;25;1679.37;13.93;9.5;12.63;11.25;70.54;0;61.27;9.27;70.5;0;22.191;3.629;8.227;1.959;3.853;2.56;6.496;0.111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;10;30;1622.63;17.11;10.56;13.93;12.31;94.58;5.95;79.96;8.68;94.6;0;32.162;3.455;10.075;2.484;4.479;3.347;8.722;0.169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;15;35;1573.01;20.17;11.52;15.17;13.26;119.99;12.35;100.09;7.55;120;0;42.956;3.031;11.724;3.014;4.978;4.157;11.105;0.233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;20;40;1527.17;23;12.37;16.32;14.08;145.36;19.15;118.37;7.84;145.4;0;53.223;3.176;13.137;3.525;5.353;4.951;13.527;0.299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;25;45;1483.62;25.31;13.05;17.31;14.72;167.47;32.89;128.44;6.14;167.5;0;63.12;2.49;14.216;3.958;5.595;5.633;15.687;0.363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;30;50;1442.19;27.42;13.65;18.25;15.28;188.44;57.72;124.8;5.93;188.4;0;71.965;2.417;15.137;4.362;5.768;6.274;17.78;0.426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;35;55;1402.78;29.31;14.17;19.12;15.77;207.88;73.98;128.19;5.71;207.9;0;80.221;2.336;15.915;4.733;5.885;6.866;19.771;0.487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;60;1365.39;31.01;14.63;19.94;16.2;225.88;86.54;133.85;5.49;225.9;0;87.908;2.253;16.573;5.072;5.961;7.412;21.658;0.547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;45;65;1271.91;31.3;14.95;20.76;16.52;231.86;101.79;125.81;4.26;231.9;0;91.183;1.747;16.901;5.179;5.909;7.617;22.573;0.596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;50;70;1183.19;31.36;15.24;21.54;16.82;235.82;114.96;117.01;3.85;235.8;0;93.271;1.582;17.15;5.244;5.839;7.754;23.287;0.641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
