Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;0;20;1931.38;7.54;7.09;9.42;8.73;30.42;0;20.74;9.68;30.4;0;7.062;3.669;4.022;0.988;2.217;1.152;2.736;0.04
1;5;25;1885.38;10.24;7.95;10.52;9.75;45.09;0;33.92;11.17;45.1;0;12.405;4.398;5.55;1.368;2.868;1.674;4.069;0.077
1;10;30;1846.39;13.35;8.91;11.72;10.78;64.18;0;51.98;12.2;64.2;0;19.655;4.89;7.252;1.833;3.529;2.337;5.82;0.127
1;15;35;1809.59;16.49;9.82;12.88;11.72;85.88;0;76.19;9.69;85.9;0;29.443;3.919;8.867;2.329;4.099;3.066;7.818;0.184
1;20;40;1772.84;19.53;10.67;13.98;12.55;109;6.89;93.31;8.8;109;0;39.218;3.577;10.304;2.836;4.551;3.827;9.979;0.246
1;25;45;1734.16;22.12;11.37;14.94;13.23;130.21;12.58;108.51;9.11;130.2;0;47.824;3.728;11.432;3.286;4.862;4.517;12.005;0.306
1;30;50;1693;24.51;12;15.84;13.81;151.05;22.92;120.84;7.28;151;0;57.213;2.983;12.385;3.717;5.087;5.185;14.028;0.366
1;35;55;1648.92;26.71;12.57;16.7;14.33;171.08;37.59;126.47;7.02;171.1;0;65.651;2.884;13.2;4.125;5.247;5.825;16.025;0.425
1;40;60;1601.83;28.7;13.07;17.52;14.79;189.97;55.12;128.17;6.68;190;0;73.679;2.753;13.894;4.505;5.356;6.429;17.964;0.482
1;45;65;1552;30.48;13.52;18.3;15.19;207.57;64.92;137.43;5.22;207.6;0;81.665;2.149;14.485;4.855;5.423;6.991;19.821;0.537
1;50;70;1484.71;31.78;13.9;19.07;15.52;221.24;84.06;132.34;4.84;221.2;0;87.615;1.995;14.951;5.129;5.442;7.442;21.392;0.588
1;55;75;1373.37;31.97;14.17;19.83;15.77;226.05;92.98;128.75;4.31;226;0;90.012;1.781;15.226;5.225;5.387;7.635;22.241;0.63
1;60;80;1278.98;32.19;14.42;20.56;16.01;230.83;101.1;125.85;3.88;230.8;0;92.346;1.605;15.475;5.318;5.332;7.818;23.064;0.672
1;65;85;1197.28;32.39;14.67;21.26;16.24;235.28;114.8;116.95;3.52;235.3;0;94.499;1.458;15.696;5.405;5.277;7.987;23.841;0.712
