Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;10;40;1585.87;13.52;9.21;12.58;11;66.63;0;57.06;9.57;66.6;0;21.916;3.831;7.13;1.897;3.305;2.477;6.28;0.173
1;15;45;1559.14;15.67;9.9;13.42;11.69;81.91;0;73.16;8.76;81.9;0;28.404;3.522;8.172;2.244;3.657;2.993;7.714;0.224
1;20;50;1533.53;17.75;10.54;14.23;12.32;97.81;7.03;83.2;7.58;97.8;0;35.313;3.058;9.106;2.593;3.946;3.518;9.215;0.277
1;25;55;1508.08;19.55;11.09;14.94;12.84;112.42;13.65;90.84;7.93;112.4;0;41.13;3.209;9.861;2.904;4.158;3.994;10.607;0.329
1;30;60;1482.5;21.25;11.59;15.61;13.31;126.85;18.1;102.42;6.33;126.9;0;47.691;2.564;10.521;3.206;4.325;4.46;12.001;0.381
1;35;65;1456.56;22.86;12.06;16.25;13.75;141.1;21.83;113.02;6.26;141.1;0;53.567;2.541;11.103;3.499;4.456;4.915;13.392;0.433
1;40;70;1430.12;24.36;12.49;16.87;14.14;154.99;34.05;116.06;4.88;155;0;59.847;1.976;11.608;3.779;4.553;5.355;14.763;0.484
1;45;75;1403.07;25.77;12.88;17.47;14.5;168.35;43.43;120.25;4.67;168.3;0;65.438;1.896;12.047;4.046;4.623;5.777;16.106;0.533
1;50;80;1375.43;27.09;13.24;18.04;14.83;181.11;55.78;120.85;4.48;181.1;0;70.79;1.82;12.431;4.299;4.671;6.18;17.413;0.58
1;55;85;1347.25;28.3;13.57;18.6;15.13;193.18;68.03;120.85;4.29;193.2;0;75.864;1.748;12.766;4.536;4.702;6.56;18.672;0.626
1;60;90;1318.67;29.42;13.88;19.13;15.4;204.55;75.68;124.75;4.12;204.6;0;80.658;1.679;13.059;4.76;4.718;6.92;19.884;0.671
1;65;95;1289.84;30.45;14.16;19.64;15.65;215.3;85.73;125.61;3.96;215.3;0;85.194;1.614;13.316;4.969;4.723;7.259;21.049;0.714
1;70;100;1260.95;31.41;14.41;20.14;15.87;225.43;93.79;127.84;3.8;225.4;0;89.483;1.552;13.544;5.166;4.72;7.578;22.166;0.756
1;75;105;1232.21;32.29;14.65;20.62;16.08;234.92;107.07;124.2;3.65;234.9;0;93.507;1.492;13.747;5.35;4.71;7.878;23.235;0.797
1;80;110;1196.8;32.94;14.86;21.09;16.27;242.33;114.86;123.99;3.48;242.3;0;96.696;1.424;13.915;5.493;4.689;8.118;24.134;0.836
1;85;115;1146.76;33.1;15.02;21.56;16.43;245.65;120.44;121.94;3.27;245.7;0;98.242;1.338;14.033;5.556;4.653;8.238;24.682;0.871
1;90;120;1101.52;33.27;15.18;22.01;16.58;248.84;125.66;120.1;3.08;248.8;0;99.72;1.262;14.141;5.616;4.617;8.353;25.21;0.906
