Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;0;30;1509.32;17.65;10.97;14.74;12.65;100.67;9.21;84.76;6.7;100.7;0;34.326;2.606;9.851;2.613;4.212;3.575;9.471;0.159
1;5;35;1461.88;20.5;11.91;15.88;13.55;125.38;15.07;102.97;7.33;125.4;0;44.053;2.891;11.226;3.114;4.615;4.344;11.768;0.216
1;10;40;1421.19;23.44;12.82;17.06;14.42;152.7;27.69;119.27;5.74;152.7;0;55.674;2.27;12.504;3.648;4.942;5.176;14.338;0.276
1;15;45;1383.54;26.1;13.61;18.15;15.16;178.95;44.69;128.6;5.65;178.9;0;66.338;2.25;13.548;4.147;5.165;5.959;16.847;0.335
1;20;50;1348.06;28.47;14.24;19.15;15.73;202.75;69.43;127.79;5.54;202.8;0;76.117;2.215;14.37;4.601;5.294;6.68;19.232;0.391
1;25;55;1314.43;30.33;14.81;19.99;16.27;223.34;86.43;131.5;5.4;223.3;0;84.703;2.172;14.998;4.969;5.382;7.267;21.241;0.446
1;30;60;1267.85;31.68;15.24;20.8;16.68;238.87;104.96;128.74;5.16;238.9;0;91.354;2.083;15.465;5.249;5.405;7.725;22.897;0.496
1;35;65;1178.11;31.74;15.54;21.58;17;243.03;111.77;126.56;4.7;243;0;93.602;1.901;15.696;5.315;5.344;7.865;23.622;0.539
1;40;70;1101.77;31.82;15.83;22.33;17.3;247.04;129.55;113.93;3.56;247;0;96.022;1.438;15.898;5.376;5.285;7.992;24.3;0.58
1;45;75;1035.41;31.88;16.1;23.05;17.59;250.87;137.06;110.55;3.26;250.9;0;97.993;1.319;16.073;5.428;5.226;8.103;24.92;0.621
1;50;80;977.36;31.93;16.36;23.72;17.87;254.39;143.82;107.56;3;254.4;0;99.795;1.217;16.225;5.475;5.169;8.2;25.49;0.661
