Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;15;45;1385.74;17.46;10.7;14.97;12.4;97.21;9.72;80.98;6.52;97.2;0;34.689;2.586;9.887;2.597;4.147;3.569;9.495;0.261
1;20;50;1354.69;19.24;11.29;15.74;12.97;112.08;17.3;87.92;6.86;112.1;0;40.561;2.736;10.767;2.912;4.391;4.055;10.949;0.316
1;25;55;1325.78;20.74;11.78;16.41;13.43;125.31;20.87;99.09;5.35;125.3;0;46.573;2.133;11.476;3.185;4.569;4.482;12.259;0.37
1;30;60;1298.59;22.16;12.24;17.06;13.86;138.26;32.4;100.56;5.3;138.3;0;51.889;2.121;12.112;3.449;4.714;4.896;13.554;0.424
1;35;65;1272.9;23.49;12.66;17.68;14.25;150.89;38.1;107.54;5.25;150.9;0;57.083;2.107;12.672;3.701;4.827;5.295;14.828;0.478
1;40;70;1248.53;24.74;13.05;18.27;14.62;163.05;51.27;107.67;4.11;163;0;62.54;1.645;13.169;3.941;4.916;5.676;16.071;0.531
1;45;75;1225.36;25.9;13.41;18.83;14.94;174.65;63.22;107.48;3.95;174.7;0;67.379;1.586;13.608;4.168;4.982;6.038;17.27;0.583
1;50;80;1203.3;26.99;13.73;19.37;15.25;185.71;70.38;111.52;3.81;185.7;0;71.998;1.533;13.997;4.382;5.032;6.381;18.429;0.634
1;55;85;1182.29;28.01;14.03;19.89;15.53;196.27;77.76;114.82;3.69;196.3;0;76.412;1.484;14.344;4.585;5.067;6.706;19.546;0.684
1;60;90;1162.25;28.96;14.31;20.39;15.79;206.29;92.36;110.36;3.57;206.3;0;80.607;1.44;14.652;4.776;5.091;7.014;20.62;0.733
1;65;95;1143.14;29.84;14.57;20.86;16.03;215.78;106.11;106.2;3.47;215.8;0;84.586;1.4;14.923;4.955;5.104;7.303;21.647;0.781
1;70;100;1124.91;30.67;14.81;21.32;16.25;224.79;113.13;108.28;3.37;224.8;0;88.37;1.364;15.166;5.124;5.11;7.576;22.631;0.828
