Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;40;70;1454.77;14.66;8.94;12.87;10.78;70.2;0;62.59;7.62;70.2;0;24.539;3.035;7.327;2.066;3.328;2.726;6.929;0.347
1;45;75;1440.4;15.63;9.23;13.27;11.07;76.76;0;70.74;6.02;76.8;0;27.823;2.4;7.748;2.225;3.452;2.965;7.596;0.391
1;50;80;1426.49;16.57;9.51;13.67;11.34;83.4;0;78.93;4.47;83.4;0;31.126;1.778;8.138;2.383;3.56;3.205;8.275;0.436
1;55;85;1412.92;17.48;9.79;14.05;11.59;90.08;8.43;77.3;4.35;90.1;0;33.871;1.732;8.501;2.54;3.653;3.444;8.96;0.48
1;60;90;1399.63;18.37;10.04;14.43;11.84;96.73;10.09;82.4;4.24;96.7;0;36.603;1.691;8.832;2.695;3.733;3.681;9.649;0.524
1;65;95;1386.54;19.24;10.29;14.79;12.07;103.34;12.99;86.22;4.14;103.3;0;39.318;1.652;9.138;2.848;3.8;3.917;10.339;0.568
1;70;100;1373.59;20.07;10.53;15.15;12.3;109.9;14.89;90.97;4.05;109.9;0;42.009;1.617;9.42;2.997;3.857;4.148;11.026;0.611
1;75;105;1360.73;20.87;10.76;15.49;12.51;116.37;16.89;95.52;3.96;116.4;0;44.662;1.585;9.678;3.142;3.905;4.374;11.706;0.654
1;80;110;1347.92;21.65;10.97;15.83;12.71;122.68;19;99.79;3.88;122.7;0;47.252;1.554;9.915;3.285;3.944;4.597;12.382;0.696
1;85;115;1335.13;22.39;11.18;16.15;12.9;128.88;20.17;104.9;3.81;128.9;0;49.799;1.525;10.132;3.423;3.975;4.814;13.049;0.737
1;90;120;1322.33;23.11;11.38;16.47;13.08;135.04;21.72;109.59;3.74;135;0;52.327;1.498;10.331;3.557;4;5.026;13.709;0.778
1;95;125;1309.49;23.8;11.57;16.78;13.25;141.02;31.7;105.65;3.67;141;0;54.78;1.472;10.514;3.688;4.019;5.233;14.359;0.817
1;100;130;1296.62;24.46;11.75;17.09;13.42;146.83;34.53;108.7;3.6;146.8;0;57.171;1.447;10.682;3.815;4.032;5.434;14.998;0.856
1;105;135;1283.67;25.09;11.92;17.38;13.57;152.51;37.03;111.93;3.54;152.5;0;59.504;1.422;10.835;3.937;4.041;5.63;15.626;0.895
