Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;20;40;1781.19;18.33;10.45;13.54;12.34;100.56;5.11;84.69;10.76;100.6;0;35.141;4.385;9.609;2.633;4.33;3.52;9.097;0.234
1;25;45;1744.85;20.76;11.14;14.44;13.01;120.21;9.43;101.52;9.25;120.2;0;43.858;3.782;10.691;3.047;4.65;4.15;10.921;0.293
1;30;50;1706.81;23.04;11.78;15.3;13.61;139.84;19.42;112.83;7.59;139.8;0;52.668;3.108;11.639;3.451;4.899;4.774;12.778;0.353
1;35;55;1666.53;25.15;12.35;16.11;14.15;158.91;24.9;126.63;7.37;158.9;0;60.676;3.029;12.448;3.835;5.081;5.373;14.614;0.412
1;40;60;1623.81;27.08;12.87;16.89;14.62;177.16;40.19;131.12;5.84;177.2;0;68.921;2.397;13.147;4.198;5.212;5.945;16.416;0.469
1;45;65;1578.69;28.83;13.34;17.64;15.04;194.34;57.16;131.67;5.51;194.3;0;76.246;2.268;13.745;4.537;5.3;6.485;18.16;0.525
1;50;70;1531.46;30.41;13.75;18.37;15.41;210.37;69.3;135.88;5.19;210.4;0;83.107;2.141;14.264;4.85;5.357;6.989;19.835;0.579
1;55;75;1477.76;31.74;14.12;19.06;15.73;224.25;85.38;134;4.87;224.2;0;89.098;2.012;14.701;5.123;5.383;7.434;21.364;0.63
1;60;80;1375.67;31.93;14.38;19.76;15.97;228.88;92.99;131.52;4.38;228.9;0;91.386;1.811;14.952;5.214;5.334;7.615;22.157;0.672
1;65;85;1287.97;32.14;14.62;20.44;16.2;233.44;100.24;129.23;3.97;233.4;0;93.597;1.645;15.181;5.302;5.285;7.789;22.926;0.714
1;70;90;1211.29;32.34;14.85;21.09;16.41;237.78;116.89;117.26;3.63;237.8;0;95.68;1.503;15.386;5.385;5.236;7.95;23.658;0.754
1;75;95;1143.84;32.53;15.07;21.71;16.62;241.91;126.28;112.3;3.33;241.9;0;97.652;1.383;15.571;5.463;5.186;8.099;24.353;0.793
