Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;15;45;1558.36;12.12;8.43;11.9;10.26;55.45;0;46.55;8.9;55.4;0;17.895;3.535;6.3;1.668;3.006;2.139;5.346;0.184
1;20;50;1536.58;13.68;8.93;12.54;10.78;65.63;0;55.36;10.27;65.6;0;21.428;4.098;7.083;1.914;3.278;2.5;6.326;0.23
1;25;55;1515.98;15.23;9.42;13.16;11.26;76.25;0;67.22;9.04;76.3;0;26.187;3.613;7.819;2.164;3.519;2.872;7.357;0.279
1;30;60;1496.19;16.74;9.88;13.76;11.7;87.16;7.21;72.2;7.74;87.2;0;31.097;3.1;8.497;2.415;3.727;3.249;8.42;0.329
1;35;65;1476.9;18.2;10.32;14.34;12.12;98.23;9.52;82.44;6.28;98.2;0;36.158;2.513;9.113;2.664;3.902;3.627;9.508;0.379
1;40;70;1457.89;19.6;10.73;14.89;12.51;109.33;12.61;91.9;4.83;109.3;0;41.23;1.93;9.666;2.909;4.046;4.002;10.605;0.43
1;45;75;1438.96;20.94;11.11;15.43;12.87;120.29;17.15;98.49;4.65;120.3;0;45.738;1.863;10.153;3.147;4.16;4.369;11.699;0.479
1;50;80;1419.98;22.21;11.47;15.94;13.2;131.06;20.51;106.05;4.5;131.1;0;50.17;1.804;10.587;3.377;4.25;4.728;12.786;0.528
1;55;85;1400.84;23.42;11.8;16.43;13.51;141.61;23.44;113.81;4.36;141.6;0;54.513;1.75;10.968;3.6;4.318;5.076;13.859;0.575
1;60;90;1381.45;24.56;12.12;16.91;13.8;151.84;35.14;112.46;4.23;151.8;0;58.725;1.7;11.307;3.814;4.37;5.413;14.915;0.621
1;65;95;1361.78;25.63;12.41;17.38;14.06;161.75;42.11;115.53;4.11;161.8;0;62.815;1.654;11.608;4.019;4.407;5.738;15.948;0.666
1;70;100;1341.8;26.64;12.68;17.82;14.31;171.26;46.61;120.65;4;171.3;0;66.741;1.61;11.876;4.214;4.432;6.049;16.954;0.71
