Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;15;45;1389.65;19.75;11.53;15.98;13.2;117.13;15.46;94.98;6.7;117.1;0;42.059;2.658;10.2;3.004;4.105;4.196;11.394;0.259
1;20;50;1357.01;21.44;12.06;16.72;13.7;132.18;29.72;95.52;6.93;132.2;0;48.117;2.765;10.878;3.313;4.264;4.678;12.882;0.307
1;25;55;1326.61;22.85;12.5;17.37;14.11;145.2;36.55;103.29;5.37;145.2;0;54.14;2.142;11.411;3.577;4.371;5.093;14.197;0.354
1;30;60;1298.08;24.17;12.9;17.99;14.49;157.83;46.22;106.35;5.26;157.8;0;59.41;2.107;11.88;3.829;4.453;5.492;15.484;0.401
1;35;65;1271.19;25.4;13.27;18.58;14.83;169.91;57.53;107.23;5.16;169.9;0;64.462;2.07;12.287;4.067;4.512;5.871;16.73;0.447
1;40;70;1245.78;26.55;13.61;19.14;15.14;181.43;68.31;108.07;5.05;181.4;0;69.291;2.032;12.638;4.292;4.551;6.231;17.937;0.492
1;45;75;1221.72;27.63;13.93;19.68;15.43;192.41;75.78;112.62;4.01;192.4;0;74.284;1.613;12.946;4.505;4.576;6.573;19.101;0.535
1;50;80;1198.92;28.63;14.22;20.2;15.7;202.89;83.04;115.98;3.87;202.9;0;78.706;1.557;13.215;4.705;4.589;6.895;20.219;0.578
1;55;85;1177.28;29.56;14.48;20.69;15.95;212.73;95.45;113.55;3.74;212.7;0;82.87;1.507;13.452;4.893;4.594;7.199;21.292;0.62
1;60;90;1156.73;30.43;14.73;21.17;16.17;222.1;111.44;107.05;3.62;222.1;0;86.836;1.462;13.659;5.07;4.591;7.485;22.316;0.661
