Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;10;40;1420.79;15.03;9.87;13.91;11.58;78.15;5.13;65.39;7.63;78.1;0;26.653;3.018;8.177;2.18;3.559;2.935;7.647;0.186
1;15;45;1387.38;16.45;10.37;14.57;12.07;89.13;7.61;75.13;6.39;89.1;0;31.681;2.537;8.898;2.423;3.773;3.307;8.73;0.231
1;20;50;1356.51;17.82;10.84;15.21;12.53;100.24;10.54;83.12;6.58;100.2;0;36.18;2.627;9.567;2.665;3.959;3.68;9.834;0.278
1;25;55;1327.75;18.99;11.24;15.77;12.9;110.1;17.2;86.16;6.74;110.1;0;40.208;2.703;10.107;2.875;4.096;4.006;10.822;0.324
1;30;60;1300.75;20.1;11.61;16.31;13.26;119.84;19.96;94.67;5.21;119.8;0;44.87;2.089;10.603;3.08;4.212;4.327;11.81;0.372
1;35;65;1275.31;21.16;11.97;16.83;13.59;129.46;29.42;94.91;5.13;129.5;0;48.892;2.066;11.056;3.278;4.309;4.641;12.791;0.419
1;40;70;1251.25;22.17;12.3;17.33;13.91;138.83;34.14;99.63;5.06;138.8;0;52.808;2.042;11.465;3.471;4.388;4.945;13.759;0.466
1;45;75;1228.46;23.14;12.62;17.82;14.2;148.03;40.43;103.58;4.02;148;0;57.05;1.619;11.835;3.656;4.451;5.24;14.713;0.513
1;50;80;1206.83;24.06;12.91;18.29;14.47;156.92;49.69;103.35;3.88;156.9;0;60.799;1.565;12.169;3.834;4.502;5.525;15.648;0.559
1;55;85;1186.25;24.92;13.18;18.75;14.73;165.51;59.78;101.98;3.75;165.5;0;64.425;1.515;12.471;4.005;4.54;5.798;16.556;0.605
1;60;90;1166.66;25.74;13.44;19.19;14.97;173.77;65.48;104.65;3.63;173.8;0;67.906;1.47;12.743;4.168;4.569;6.06;17.442;0.65
1;65;95;1148;26.52;13.68;19.61;15.19;181.75;73.14;105.08;3.53;181.8;0;71.277;1.429;12.99;4.324;4.589;6.311;18.303;0.694
