Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;10;40;1413.37;13.97;9.5;13.74;11.26;70.3;0;61.67;8.63;70.3;0;22.951;3.374;7.575;2.018;3.298;2.703;7.03;0.172
1;15;45;1379.34;15.34;9.98;14.34;11.73;80.44;6.83;66.29;7.32;80.4;0;27.597;2.876;8.271;2.248;3.515;3.05;8.027;0.215
1;20;50;1349.04;16.65;10.43;14.94;12.17;90.58;9.46;73.24;7.88;90.6;0;31.495;3.114;8.904;2.473;3.698;3.395;9.036;0.26
1;25;55;1321.02;17.76;10.82;15.46;12.53;99.58;15.57;77.66;6.35;99.6;0;35.793;2.514;9.427;2.67;3.839;3.699;9.944;0.304
1;30;60;1294.84;18.83;11.18;15.97;12.88;108.58;18.55;83.54;6.49;108.6;0;39.42;2.579;9.907;2.862;3.959;3.998;10.852;0.349
1;35;65;1270.25;19.85;11.52;16.46;13.2;117.41;21.13;91.14;5.15;117.4;0;43.579;2.045;10.343;3.049;4.06;4.292;11.756;0.395
1;40;70;1247.05;20.83;11.85;16.94;13.5;126.17;30.07;91.01;5.09;126.2;0;47.185;2.028;10.743;3.232;4.145;4.579;12.653;0.44
1;45;75;1225.09;21.76;12.15;17.4;13.79;134.68;36.74;93.95;3.99;134.7;0;51.114;1.585;11.107;3.408;4.215;4.857;13.537;0.486
1;50;80;1204.25;22.64;12.44;17.84;14.05;143.03;40.34;98.85;3.84;143;0;54.593;1.53;11.434;3.577;4.27;5.127;14.406;0.53
1;55;85;1184.44;23.49;12.72;18.28;14.3;151.08;48.78;98.59;3.71;151.1;0;57.948;1.481;11.73;3.741;4.315;5.387;15.258;0.575
1;60;90;1165.56;24.29;12.97;18.69;14.54;158.89;52.96;102.33;3.6;158.9;0;61.198;1.437;11.998;3.897;4.349;5.638;16.087;0.618
