Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;20;1812.98;9.63;7.91;10.96;9.61;42.08;0;32.85;9.23;42.1;0;10.604;3.395;5.067;1.307;2.541;1.618;3.976;0.046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;25;1702.71;12.07;8.78;12;10.56;57.25;0;47.73;9.52;57.2;0;16.803;3.655;6.414;1.674;3.051;2.146;5.386;0.082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;10;30;1643.71;14.77;9.71;13.12;11.51;75.98;0;66.65;9.34;76;0;24.418;3.655;7.824;2.102;3.545;2.778;7.131;0.128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;15;35;1594.01;17.39;10.57;14.19;12.37;96.13;7.48;80.1;8.55;96.1;0;32.848;3.384;9.107;2.54;3.956;3.438;9.014;0.178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;20;40;1548.95;19.88;11.36;15.21;13.14;116.79;13.01;96.39;7.39;116.8;0;41.675;2.939;10.229;2.973;4.277;4.101;10.974;0.231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;25;45;1506.77;21.96;12;16.09;13.75;135.13;18.21;109.39;7.53;135.1;0;49.138;3.017;11.098;3.347;4.495;4.683;12.744;0.283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;30;50;1466.92;23.88;12.58;16.92;14.3;153;36.08;110.87;6.05;153;0;57.093;2.426;11.834;3.703;4.653;5.242;14.493;0.335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;35;55;1429.13;25.65;13.11;17.71;14.79;170.09;50.89;113.33;5.86;170.1;0;64.22;2.36;12.462;4.039;4.764;5.774;16.201;0.386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;60;1393.25;27.26;13.58;18.45;15.23;186.31;59.49;121.94;4.87;186.3;0;71.345;1.963;12.995;4.353;4.839;6.273;17.847;0.436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;45;65;1359.2;28.73;14;19.16;15.61;201.38;73.37;123.37;4.64;201.4;0;77.707;1.874;13.442;4.642;4.883;6.738;19.415;0.483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
