Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;10;40;1581.87;14.7;9.47;13.09;11.2;74.03;0;66.22;7.81;74;0;25.559;3.136;7.951;2.089;3.599;2.762;7.076;0.194
1;15;45;1538.56;16.66;10.14;13.93;11.87;88.75;5.53;74.56;8.66;88.7;0;31.192;3.494;8.959;2.416;3.919;3.257;8.484;0.247
1;20;50;1498.95;18.52;10.76;14.75;12.47;103.71;12.34;84.06;7.31;103.7;0;37.831;2.959;9.868;2.739;4.181;3.752;9.933;0.301
1;25;55;1461.71;20.09;11.28;15.46;12.97;117.09;16.75;92.83;7.5;117.1;0;43.25;3.045;10.605;3.021;4.374;4.19;11.25;0.354
1;30;60;1426.54;21.57;11.77;16.14;13.43;130.27;21.11;103.22;5.94;130.3;0;49.321;2.414;11.256;3.293;4.527;4.616;12.56;0.407
1;35;65;1393.24;22.97;12.21;16.8;13.85;143.2;32.3;105.06;5.83;143.2;0;54.7;2.375;11.838;3.555;4.649;5.03;13.857;0.46
1;40;70;1361.65;24.27;12.63;17.42;14.24;155.64;41.53;109.45;4.66;155.6;0;60.331;1.895;12.354;3.805;4.743;5.427;15.13;0.512
1;45;75;1331.66;25.5;13.01;18.03;14.59;167.7;52.96;110.28;4.46;167.7;0;65.413;1.817;12.807;4.043;4.812;5.807;16.373;0.563
1;50;80;1303.18;26.64;13.36;18.6;14.92;179.13;59.68;115.18;4.28;179.1;0;70.238;1.746;13.206;4.268;4.861;6.167;17.573;0.613
1;55;85;1276.15;27.7;13.68;19.16;15.22;190.04;72.59;113.33;4.12;190;0;74.846;1.682;13.56;4.48;4.896;6.509;18.734;0.661
1;60;90;1250.48;28.69;13.97;19.69;15.5;200.41;82.64;113.8;3.97;200.4;0;79.232;1.624;13.873;4.681;4.917;6.832;19.853;0.708
1;65;95;1226.11;29.62;14.25;20.2;15.75;210.28;89.89;116.55;3.84;210.3;0;83.415;1.572;14.151;4.869;4.929;7.138;20.93;0.754
