Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;30;1508.67;10.21;8.05;11.88;9.75;45.02;0;37.13;7.89;45;0;13.326;3.03;5.558;1.412;2.648;1.804;4.515;0.091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;35;1451.57;11.29;8.45;12.35;10.17;51.67;0;42.46;9.21;51.7;0;15.66;3.586;6.168;1.577;2.866;2.043;5.164;0.124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;10;40;1413.15;12.44;8.87;12.89;10.61;59.19;0;51.19;8;59.2;0;19.249;3.146;6.804;1.758;3.083;2.312;5.904;0.161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;15;45;1380.24;13.56;9.28;13.42;11.03;66.97;0;60.01;6.95;67;0;22.867;2.749;7.416;1.942;3.283;2.586;6.674;0.201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;20;50;1350.61;14.63;9.68;13.94;11.42;74.76;5.08;62.31;7.37;74.8;0;25.899;2.927;7.988;2.122;3.459;2.86;7.455;0.243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;25;55;1323.05;15.55;10.02;14.41;11.75;81.8;9.02;65.04;7.74;81.8;0;28.658;3.089;8.472;2.282;3.599;3.105;8.169;0.285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;30;60;1297.22;16.45;10.35;14.87;12.07;88.88;11.42;71.18;6.28;88.9;0;32.165;2.51;8.932;2.44;3.725;3.35;8.892;0.329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;35;65;1272.91;17.32;10.66;15.31;12.36;95.91;13.59;75.93;6.4;95.9;0;35.013;2.562;9.362;2.595;3.838;3.591;9.613;0.373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;70;1249.96;18.16;10.96;15.74;12.65;102.94;15.93;81.91;5.1;102.9;0;38.429;2.042;9.761;2.748;3.936;3.829;10.336;0.418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;45;75;1228.25;18.97;11.25;16.17;12.92;109.89;19.53;86.35;4;109.9;0;41.73;1.601;10.134;2.897;4.022;4.065;11.058;0.463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
