date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1.1.2000;-0.45;-0.266191572;-0.228354784;-0.213168265;-0.206188754;-0.202817405;-0.20115537;-0.200334699;-0.199942482;-0.19978496;-0.19978496;-0.199942482;-0.200334699;-0.20115537;-0.202817405;-0.206188754;-0.213168265;-0.228354784;-0.266191572;-0.45
2.1.2000;-0.45;-0.296195179;-0.248238776;-0.225470523;-0.213159087;-0.206274211;-0.202398566;-0.200246666;-0.199114147;-0.198628465;-0.198628465;-0.199114147;-0.200246666;-0.202398566;-0.206274211;-0.213159087;-0.225470523;-0.248238776;-0.296195179;-0.45
3.1.2000;-0.45;-0.314884761;-0.263708358;-0.237437628;-0.221923742;-0.212459535;-0.206673388;-0.203209895;-0.201269825;-0.200401975;-0.200401975;-0.201269825;-0.203209895;-0.206673388;-0.212459535;-0.221923742;-0.237437628;-0.263708358;-0.314884761;-0.45
4.1.2000;-0.45;-0.327703825;-0.275488913;-0.247345519;-0.229868573;-0.218600905;-0.211328453;-0.206752342;-0.204080415;-0.202851273;-0.202851273;-0.204080415;-0.206752342;-0.211328453;-0.218600905;-0.229868573;-0.247345519;-0.275488913;-0.327703825;-0.45
5.1.2000;-0.45;-0.336361597;-0.283798817;-0.254379805;-0.235539665;-0.222930446;-0.214480898;-0.208976964;-0.205670238;-0.204119818;-0.204119818;-0.205670238;-0.208976964;-0.214480898;-0.222930446;-0.235539665;-0.254379805;-0.283798817;-0.336361597;-0.45
6.1.2000;-0.45;-0.34239358;-0.289750939;-0.259375298;-0.239521549;-0.225883288;-0.21649905;-0.210236248;-0.20639848;-0.204575442;-0.204575442;-0.20639848;-0.210236248;-0.21649905;-0.225883288;-0.239521549;-0.259375298;-0.289750939;-0.34239358;-0.45
7.1.2000;-0.45;-0.341417039;-0.287648335;-0.255847175;-0.234520071;-0.219494114;-0.208901232;-0.201675193;-0.197167474;-0.195001167;-0.195001167;-0.197167474;-0.201675193;-0.208901232;-0.219494114;-0.234520071;-0.255847175;-0.287648335;-0.341417039;-0.45
8.1.2000;-0.45;-0.189750472;-0.063281055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.063281055;-0.189750472;-0.45
9.1.2000;-0.45;-0.221806608;-0.1415627;-0.098048335;-0.073993222;-0.05906396;-0.049385429;-0.04312914;-0.039353733;-0.037571752;-0.037571752;-0.039353733;-0.04312914;-0.049385429;-0.05906396;-0.073993222;-0.098048335;-0.1415627;-0.221806608;-0.45
10.1.2000;-0.45;-0.250882116;-0.179978071;-0.138645192;-0.112061325;-0.094160976;-0.081930856;-0.073730381;-0.068663239;-0.066239282;-0.066239282;-0.068663239;-0.073730381;-0.081930856;-0.094160976;-0.112061325;-0.138645192;-0.179978071;-0.250882116;-0.45
