date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1.1.2000;-0.85;-0.281912269;-0.226444645;-0.210348311;-0.204271363;-0.201802065;-0.200774161;-0.200350849;-0.200198461;-0.200198461;-0.200350849;-0.200774161;-0.201802065;-0.204271363;-0.210348311;-0.226444645;-0.281912269;-0.85
2.1.2000;-0.85;-0.329644974;-0.248758407;-0.222302368;-0.210660955;-0.205155688;-0.202520041;-0.201296604;-0.200816898;-0.200816898;-0.201296604;-0.202520041;-0.205155688;-0.210660955;-0.222302368;-0.248758407;-0.329644974;-0.85
3.1.2000;-0.85;-0.362693749;-0.266654105;-0.233432171;-0.217586585;-0.209365273;-0.205048616;-0.202873174;-0.201967906;-0.201967906;-0.202873174;-0.205048616;-0.209365273;-0.217586585;-0.233432171;-0.266654105;-0.362693749;-0.85
4.1.2000;-0.85;-0.386561904;-0.280187443;-0.243053328;-0.22427501;-0.213897101;-0.208089204;-0.204990367;-0.203646965;-0.203646965;-0.204990367;-0.208089204;-0.213897101;-0.22427501;-0.243053328;-0.280187443;-0.386561904;-0.85
5.1.2000;-0.85;-0.404187144;-0.290087907;-0.25114161;-0.230428394;-0.21843884;-0.21141635;-0.207515635;-0.205775895;-0.205775895;-0.207515635;-0.21141635;-0.21843884;-0.230428394;-0.25114161;-0.290087907;-0.404187144;-0.85
6.1.2000;-0.85;-0.417800588;-0.297713679;-0.257986534;-0.236008302;-0.222844695;-0.21487746;-0.210323651;-0.208251915;-0.208251915;-0.210323651;-0.21487746;-0.222844695;-0.236008302;-0.257986534;-0.297713679;-0.417800588;-0.85
7.1.2000;-0.85;-0.429010062;-0.304294258;-0.263977652;-0.241100481;-0.227070545;-0.218380628;-0.213312865;-0.210975117;-0.210975117;-0.213312865;-0.218380628;-0.227070545;-0.241100481;-0.263977652;-0.304294258;-0.429010062;-0.85
8.1.2000;-0.85;-0.438878627;-0.310653989;-0.269468884;-0.245836527;-0.231128593;-0.221878807;-0.216410294;-0.213863552;-0.213863552;-0.216410294;-0.221878807;-0.231128593;-0.245836527;-0.269468884;-0.310653989;-0.438878627;-0.85
9.1.2000;-0.85;-0.448021977;-0.317152865;-0.274704632;-0.250331433;-0.235050922;-0.225352149;-0.219567374;-0.216856286;-0.216856286;-0.219567374;-0.225352149;-0.235050922;-0.250331433;-0.274704632;-0.317152865;-0.448021977;-0.85
10.1.2000;-0.85;-0.456784625;-0.323902029;-0.27983058;-0.254671783;-0.238870152;-0.228793295;-0.222751474;-0.219908741;-0.219908741;-0.222751474;-0.228793295;-0.238870152;-0.254671783;-0.27983058;-0.323902029;-0.456784625;-0.85
11.1.2000;-0.85;-0.465333074;-0.330872663;-0.284921791;-0.258916695;-0.242614753;-0.232202244;-0.225942729;-0.222991042;-0.222991042;-0.225942729;-0.232202244;-0.242614753;-0.258916695;-0.284921791;-0.330872663;-0.465333074;-0.85
12.1.2000;-0.85;-0.473710635;-0.337939748;-0.289993562;-0.26309855;-0.246305376;-0.235581274;-0.229129135;-0.226083562;-0.226083562;-0.229129135;-0.235581274;-0.246305376;-0.26309855;-0.289993562;-0.337939748;-0.473710635;-0.85
13.1.2000;-0.85;-0.48188285;-0.344925167;-0.295016659;-0.267225652;-0.24994982;-0.238930858;-0.232302788;-0.229173375;-0.229173375;-0.232302788;-0.238930858;-0.24994982;-0.267225652;-0.295016659;-0.344925167;-0.48188285;-0.85
14.1.2000;-0.85;-0.489804403;-0.35170594;-0.299948677;-0.271292444;-0.253549028;-0.242249803;-0.235457714;-0.232251442;-0.232251442;-0.235457714;-0.242249803;-0.253549028;-0.271292444;-0.299948677;-0.35170594;-0.489804403;-0.85
15.1.2000;-0.85;-0.497465867;-0.358225018;-0.304751381;-0.275288706;-0.257100882;-0.245537401;-0.238590064;-0.235311963;-0.235311963;-0.238590064;-0.245537401;-0.257100882;-0.275288706;-0.304751381;-0.358225018;-0.497465867;-0.85
16.1.2000;-0.85;-0.504882468;-0.364460135;-0.309392511;-0.279202101;-0.260599648;-0.248788383;-0.241695012;-0.238349539;-0.238349539;-0.241695012;-0.248788383;-0.260599648;-0.279202101;-0.309392511;-0.364460135;-0.504882468;-0.85
17.1.2000;-0.85;-0.51208897;-0.370411324;-0.313847191;-0.283022256;-0.264040058;-0.251999321;-0.244771006;-0.24136127;-0.24136127;-0.244771006;-0.251999321;-0.264040058;-0.283022256;-0.313847191;-0.370411324;-0.51208897;-0.85
18.1.2000;-0.85;-0.519135074;-0.376096075;-0.31809564;-0.286739876;-0.267416443;-0.255165943;-0.247813933;-0.24434584;-0.24434584;-0.247813933;-0.255165943;-0.267416443;-0.286739876;-0.31809564;-0.376096075;-0.519135074;-0.85
