date;0;1;2;3;4;5;6;7;8;9;10;11
1.1.2000;-1.03;-0.309388782;-0.235322091;-0.214089777;-0.205546461;-0.202381262;-0.202381262;-0.205546461;-0.214089777;-0.235322091;-0.309388782;-1.03
2.1.2000;-1.03;-0.371007019;-0.264422602;-0.231628799;-0.216969861;-0.21105538;-0.21105538;-0.216969861;-0.231628799;-0.264422602;-0.371007019;-1.03
3.1.2000;-1.03;-0.4132916;-0.286306551;-0.247098518;-0.229021413;-0.221412775;-0.221412775;-0.229021413;-0.247098518;-0.286306551;-0.4132916;-1.03
4.1.2000;-1.03;-0.446766938;-0.304585239;-0.260163363;-0.240059793;-0.231458737;-0.231458737;-0.240059793;-0.260163363;-0.304585239;-0.446766938;-1.03
5.1.2000;-1.03;-0.475768452;-0.321447415;-0.271188272;-0.249440687;-0.240154009;-0.240154009;-0.249440687;-0.271188272;-0.321447415;-0.475768452;-1.03
6.1.2000;-1.03;-0.497602616;-0.333672229;-0.277779319;-0.254237536;-0.244264705;-0.244264705;-0.254237536;-0.277779319;-0.333672229;-0.497602616;-1.03
7.1.2000;-1.03;-0.516976672;-0.34597039;-0.285259692;-0.260050407;-0.249530941;-0.249530941;-0.260050407;-0.285259692;-0.34597039;-0.516976672;-1.03
8.1.2000;-1.03;-0.528922203;-0.352085485;-0.287057486;-0.260031607;-0.248817252;-0.248817252;-0.260031607;-0.287057486;-0.352085485;-0.528922203;-1.03
9.1.2000;-1.03;-0.542420103;-0.3616815;-0.293104184;-0.264656626;-0.253024891;-0.253024891;-0.264656626;-0.293104184;-0.3616815;-0.542420103;-1.03
10.1.2000;-1.03;-0.559629851;-0.376785625;-0.304719063;-0.275007765;-0.263213956;-0.263213956;-0.275007765;-0.304719063;-0.376785625;-0.559629851;-1.03
11.1.2000;-1.03;-0.576144552;-0.391368661;-0.31548038;-0.284482409;-0.272473906;-0.272473906;-0.284482409;-0.31548038;-0.391368661;-0.576144552;-1.03
12.1.2000;-1.03;-0.592167605;-0.405184588;-0.325448636;-0.29325551;-0.280946724;-0.280946724;-0.29325551;-0.325448636;-0.405184588;-0.592167605;-1.03
13.1.2000;-1.03;-0.607536836;-0.418216857;-0.334899066;-0.301524233;-0.288823467;-0.288823467;-0.301524233;-0.334899066;-0.418216857;-0.607536836;-1.03
14.1.2000;-1.03;-0.621864034;-0.430592943;-0.344129227;-0.309447171;-0.296227762;-0.296227762;-0.309447171;-0.344129227;-0.430592943;-0.621864034;-1.03
