Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;35;1000;6.09;8.98;9.05;9.98;30.04;0;23.99;6.05;30;0;9.405;2.394;3.252;0.764;1.911;0.896;2.077;0.086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;40;988.11;9.42;10.72;11.26;11.73;53.53;0;49.78;3.75;53.5;0;19.496;1.476;5.446;1.265;2.936;1.613;3.908;0.159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;10;45;977.11;11.79;11.76;12.64;12.8;72.33;0;68.93;3.4;72.3;0;27.08;1.338;7.008;1.651;3.573;2.189;5.46;0.225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;15;50;966.88;14.17;12.74;13.92;13.79;92.98;0;89.81;3.17;93;0;35.377;1.252;8.531;2.061;4.134;2.812;7.206;0.298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;20;55;957.27;16.53;13.64;15.12;14.7;114.88;0;111.87;3.01;114.9;0;44.175;1.191;9.956;2.482;4.606;3.463;9.099;0.373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;25;60;948.14;18.82;14.45;16.22;15.52;137.34;7.03;127.42;2.89;137.3;0;53.216;1.146;11.242;2.904;4.987;4.121;11.077;0.449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;30;65;939.36;21.01;15.18;17.24;16.27;159.76;17.08;139.89;2.79;159.8;0;62.267;1.111;12.372;3.316;5.283;4.769;13.088;0.523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;35;70;930.84;23.07;15.83;18.18;16.93;181.57;37.71;141.14;2.71;181.6;0;71.097;1.082;13.342;3.711;5.505;5.394;15.078;0.595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;75;922.52;24.99;16.41;19.05;17.52;202.56;56.75;143.16;2.65;202.6;0;79.626;1.058;14.17;4.086;5.666;5.989;17.024;0.663;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;45;80;914.37;26.78;16.92;19.85;18.05;222.4;82.91;136.91;2.59;222.4;0;87.719;1.037;14.871;4.437;5.779;6.548;18.895;0.728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
