date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1.1.2000;-0.3;-0.231058789;-0.212251714;-0.205141317;-0.202210728;-0.200962884;-0.200424619;-0.200192054;-0.200093731;-0.200057708;-0.200057708;-0.200093731;-0.200192054;-0.200424619;-0.200962884;-0.202210728;-0.205141317;-0.212251714;-0.231058789;-0.3
2.1.2000;-0.3;-0.245899283;-0.222549437;-0.211276137;-0.205639858;-0.202805915;-0.201390711;-0.200695804;-0.200368892;-0.200239751;-0.200239751;-0.200368892;-0.200695804;-0.201390711;-0.202805915;-0.205639858;-0.211276137;-0.222549437;-0.245899283;-0.3
3.1.2000;-0.3;-0.254434004;-0.23032357;-0.216945551;-0.209397954;-0.205154779;-0.202803554;-0.201534176;-0.200887231;-0.200616901;-0.200616901;-0.200887231;-0.201534176;-0.202803554;-0.205154779;-0.209397954;-0.216945551;-0.23032357;-0.254434004;-0.3
4.1.2000;-0.3;-0.236692853;-0.207900073;-0.19152832;-0.181638145;-0.175578306;-0.171886335;-0.169693962;-0.168477576;-0.16793765;-0.16793765;-0.168477576;-0.169693962;-0.171886335;-0.175578306;-0.181638145;-0.19152832;-0.207900073;-0.236692853;-0.3
5.1.2000;-0.3;-0.245097157;-0.215695692;-0.197926611;-0.186676288;-0.17943274;-0.1747847;-0.171880587;-0.170196289;-0.169425251;-0.169425251;-0.170196289;-0.171880587;-0.1747847;-0.17943274;-0.186676288;-0.197926611;-0.215695692;-0.245097157;-0.3
6.1.2000;-0.3;-0.241850721;-0.211118695;-0.192052648;-0.179556898;-0.171209312;-0.165641185;-0.16202496;-0.159849679;-0.158827147;-0.158827147;-0.159849679;-0.16202496;-0.165641185;-0.171209312;-0.179556898;-0.192052648;-0.211118695;-0.241850721;-0.3
7.1.2000;-0.3;-0.242929906;-0.211565839;-0.19162313;-0.178239049;-0.169072622;-0.162798651;-0.158619111;-0.156055448;-0.154835956;-0.154835956;-0.156055448;-0.158619111;-0.162798651;-0.169072622;-0.178239049;-0.19162313;-0.211565839;-0.242929906;-0.3
8.1.2000;-0.3;-0.232894637;-0.198904255;-0.177396737;-0.16279043;-0.152499189;-0.145234179;-0.140263287;-0.137152122;-0.13565318;-0.13565318;-0.137152122;-0.140263287;-0.145234179;-0.152499189;-0.16279043;-0.177396737;-0.198904255;-0.232894637;-0.3
9.1.2000;-0.3;-0.230652847;-0.194974886;-0.172316826;-0.15682075;-0.145811341;-0.137948348;-0.132502595;-0.129059913;-0.127390402;-0.127390402;-0.129059913;-0.132502595;-0.137948348;-0.145811341;-0.15682075;-0.172316826;-0.194974886;-0.230652847;-0.3
10.1.2000;-0.3;-0.236635194;-0.20129565;-0.178380042;-0.162591356;-0.15139937;-0.143412205;-0.137875242;-0.134369629;-0.132667513;-0.132667513;-0.134369629;-0.137875242;-0.143412205;-0.15139937;-0.162591356;-0.178380042;-0.20129565;-0.236635194;-0.3
11.1.2000;-0.3;-0.241128693;-0.206656226;-0.183813347;-0.167902351;-0.156574939;-0.148495173;-0.142896205;-0.139351549;-0.137630334;-0.137630334;-0.139351549;-0.142896205;-0.148495173;-0.156574939;-0.167902351;-0.183813347;-0.206656226;-0.241128693;-0.3
12.1.2000;-0.3;-0.241255916;-0.207067057;-0.184217731;-0.168173878;-0.156675665;-0.148431581;-0.142701642;-0.139067459;-0.137300979;-0.137300979;-0.139067459;-0.142701642;-0.148431581;-0.156675665;-0.168173878;-0.184217731;-0.207067057;-0.241255916;-0.3
13.1.2000;-0.3;-0.244969886;-0.211609438;-0.189000125;-0.172996948;-0.161484173;-0.153237925;-0.147511315;-0.143881032;-0.14211689;-0.14211689;-0.143881032;-0.147511315;-0.153237925;-0.161484173;-0.172996948;-0.189000125;-0.211609438;-0.244969886;-0.3
14.1.2000;-0.3;-0.248077115;-0.215675058;-0.193406107;-0.177506666;-0.166012437;-0.157760898;-0.152036373;-0.148410425;-0.146649278;-0.146649278;-0.148410425;-0.152036373;-0.157760898;-0.166012437;-0.177506666;-0.193406107;-0.215675058;-0.248077115;-0.3
15.1.2000;-0.3;-0.250768931;-0.219333372;-0.197457446;-0.18170705;-0.170257357;-0.162010195;-0.156287771;-0.152665577;-0.150907077;-0.150907077;-0.152665577;-0.156287771;-0.162010195;-0.170257357;-0.18170705;-0.197457446;-0.219333372;-0.250768931;-0.3
16.1.2000;-0.3;-0.250986129;-0.220037574;-0.198434806;-0.182794071;-0.171372446;-0.163116947;-0.157369961;-0.153726045;-0.151955641;-0.151955641;-0.153726045;-0.157369961;-0.163116947;-0.171372446;-0.182794071;-0.198434806;-0.220037574;-0.250986129;-0.3
17.1.2000;-0.3;-0.25355614;-0.223385321;-0.202129883;-0.186660539;-0.175318048;-0.167097543;-0.161366557;-0.157736451;-0.155973882;-0.155973882;-0.157736451;-0.161366557;-0.167097543;-0.175318048;-0.186660539;-0.202129883;-0.223385321;-0.25355614;-0.3
18.1.2000;-0.3;-0.255771583;-0.226442832;-0.205578784;-0.190296368;-0.179042948;-0.170863377;-0.165150286;-0.16152394;-0.159763627;-0.159763627;-0.16152394;-0.165150286;-0.170863377;-0.179042948;-0.190296368;-0.205578784;-0.226442832;-0.255771583;-0.3
19.1.2000;-0.3;-0.257743304;-0.229249011;-0.208795001;-0.193716114;-0.182563891;-0.17443324;-0.168743322;-0.165126783;-0.163368317;-0.163368317;-0.165126783;-0.168743322;-0.17443324;-0.182563891;-0.193716114;-0.208795001;-0.229249011;-0.257743304;-0.3
20.1.2000;-0.3;-0.259536176;-0.231848694;-0.211809449;-0.196946264;-0.185906375;-0.177833145;-0.172172228;-0.168569971;-0.166817246;-0.166817246;-0.168569971;-0.172172228;-0.177833145;-0.185906375;-0.196946264;-0.211809449;-0.231848694;-0.259536176;-0.3
21.1.2000;-0.3;-0.261189418;-0.234277272;-0.214650603;-0.200010966;-0.189092504;-0.181084336;-0.17545781;-0.171873193;-0.170128049;-0.170128049;-0.171873193;-0.17545781;-0.181084336;-0.189092504;-0.200010966;-0.214650603;-0.234277272;-0.261189418;-0.3
22.1.2000;-0.3;-0.262718122;-0.236548936;-0.217329314;-0.20291885;-0.192127306;-0.18418991;-0.178602222;-0.175037982;-0.173301661;-0.173301661;-0.175037982;-0.178602222;-0.18418991;-0.192127306;-0.20291885;-0.217329314;-0.236548936;-0.262718122;-0.3
23.1.2000;-0.3;-0.26414058;-0.238683451;-0.219863479;-0.205685191;-0.195024284;-0.187162011;-0.18161675;-0.178075246;-0.176348838;-0.176348838;-0.178075246;-0.18161675;-0.187162011;-0.195024284;-0.205685191;-0.219863479;-0.238683451;-0.26414058;-0.3
24.1.2000;-0.3;-0.265471031;-0.240697036;-0.222267943;-0.208321985;-0.197795093;-0.190011648;-0.184511871;-0.180995166;-0.179279682;-0.179279682;-0.180995166;-0.184511871;-0.190011648;-0.197795093;-0.208321985;-0.222267943;-0.240697036;-0.265471031;-0.3
